invoice_id,list_of_goods,customer_id
3700630,"['chicken', 'rice', 'pepper', 'whole wheat rice', 'shrimp', 'toothpaste', 'gums', 'cereals', 'bluetooth headphones', 'vacuum cleaner', 'body spray']",12912
10242376,"['low fat yogurt', 'tomatoes', 'pepper', 'asparagus', 'mint green tea', 'phone charger', 'ground beef', 'tomato sauce', 'red wine', 'soup', 'energy bar', 'fresh bread']",22853
91550,"['cake', 'tomatoes', 'pancakes', 'iPad', 'final fantasy XIX', 'mineral water', 'ring light']",19
3137503,"['cereals', 'megaman zero', 'final fantasy XIX', 'honey']",10995
7165061,"['rice', 'frozen smoothie', 'black tea', 'tea', 'minecraft', 'almonds', 'fresh bread', 'milk']",27807
9814176,"['cottage cheese', 'samsung galaxy 10', 'strawberries', 'megaman zero', 'asparagus', 'bacon', 'metroid prime', 'oatmeal', 'sparkling water', 'flax seed', 'pet food', 'phone charger', 'tomato sauce', 'green grapes', 'red wine', 'whole wheat pasta', 'black beer']",36382
4504266,"['rice', 'white wine', 'turkey', 'shallot', 'black tea', 'bacon', 'flax seed', 'oatmeal', 'pickles', 'chili', 'phone charger', 'pokemon sword', 'french fries', 'herb & pepper', 'ratchet & clank 2']",27921
7663691,"['antioxydant juice', 'soda', 'shower gel', 'canned_tuna', 'dog food']",22128
11046498,"['barbecue sauce', 'whole wheat rice', 'mint', 'hot dogs', 'red wine', 'french wine', 'mushroom cream sauce', 'body spray']",14948
7253615,"['ratchet & clank 3', 'rice', 'salmon', 'whole wheat rice', 'shallot', 'asparagus', 'black tea', 'toothpaste', 'pet food', 'nonfat milk', 'metroid fusion', 'soup']",6169
9961709,"['cat food', 'napkins', 'iMac', 'tomato juice', 'green grapes', 'portal 2', 'mushroom cream sauce']",23280
11861108,"['light cream', 'energy drink', 'fromage blanc', 'airpods', 'mint', 'strawberries', 'megaman zero', 'gums', 'green beans', 'gadget for tiktok streaming']",7721
5439813,"['mushroom cream sauce', 'yams', 'catfish']",1452
12082947,"['turkey', 'butter', 'final fantasy XIX', 'green tea']",37370
8893928,"['oil', 'pepper', 'airpods', 'butter', 'bacon', 'extra dark chocolate', 'protein bar', 'pokemon sword', 'bluetooth headphones', 'fresh bread', 'ratchet & clank']",17092
