feature,age,gender_male,kids_home,teens_home,household_children,number_complaints,distinct_stores_visited,customer_tenure_years,has_loyalty_card,promotion_purchase_rate,lifetime_total_distinct_products,total_lifetime_spend,avg_spend_per_product,spend_per_tenure_year,typical_hour_sin,typical_hour_cos,latitude,longitude,log1p_spend_groceries,share_spend_groceries,log1p_spend_electronics,share_spend_electronics,log1p_spend_vegetables,share_spend_vegetables,log1p_spend_nonalcohol_drinks,share_spend_nonalcohol_drinks,log1p_spend_alcohol_drinks,share_spend_alcohol_drinks,log1p_spend_meat,share_spend_meat,log1p_spend_fish,share_spend_fish,log1p_spend_hygiene,share_spend_hygiene,log1p_spend_videogames,share_spend_videogames,log1p_spend_petfood,share_spend_petfood
age,1.0,-0.009974688594131208,-0.03956216066461415,0.07899320066048157,0.017166201125045806,-0.06555377433054894,0.07506167407104376,0.2655833584538001,0.06745764731645378,-0.1027369382069174,0.11764218415170895,0.09829503071793796,-0.018193823302160145,-0.17626522477228926,-0.04432408421231687,-0.009570020445750237,0.02996342159512922,0.001023448526400579,0.03714074776105922,-0.0430884496444957,0.05530381033332459,0.033213057574758904,0.12568295421188141,0.07409841922444527,0.12183865124778183,0.05876646449274611,-0.0661658877200047,-0.1469804779910297,0.017002515626426847,0.009576813110769026,0.013008414217939423,-0.008470879697980088,0.10060073009676655,0.048646615099055,0.05767924717041643,0.027239941342996,0.0749271783451994,0.004199635554395465
gender_male,-0.009974688594131208,1.0,0.01585094407335455,0.02038830601008343,0.021268386540309558,-0.00037118115761449453,0.0013861698261604016,0.00012843332050731002,0.006804862412660889,-0.006227908033867244,0.013033666975738963,0.007743311540864386,1.741732735804371e-05,0.005250851840190766,0.003581582195933148,-0.007140373823001577,0.000597830832136243,0.008717749371432526,0.010135830846357028,0.008965378298590313,-0.0006257518447745818,-0.012452670378729335,0.015583652314777477,0.01060557991373772,0.0042231815713813774,-8.525174222284944e-05,0.005557182805930394,-0.005349212127433585,-0.007126017635792108,-0.006752750219190873,-0.001198344411032921,-1.4476017176633293e-05,0.000593308012604387,-0.001567872518042307,-0.004491594118937011,-0.007757207143750139,-0.00032319528669890835,-0.0036364060135792436
kids_home,-0.03956216066461415,0.01585094407335455,1.0,0.4150130706064305,0.8705375914211884,0.14137063932529936,0.03465159032354594,0.08726356684503117,0.005981687191695957,-0.08107122796526281,0.304237566992832,0.2054073182400738,-0.047417073263715415,0.06866585642637407,0.18896041440348935,-0.24446664542060936,-0.001477912711710859,0.03378647894876263,0.177444626045928,0.08296854974341894,0.1358218172968061,-0.0811578218126513,0.1491201814616113,-0.03010629935837148,0.2024170735253951,0.024688917214434426,0.2563804100779134,0.11221037176632359,0.11429458937358694,-0.016336994137889225,0.13351590219302426,0.043144613863704724,0.13407768492794347,-0.02379745644236734,-0.023162779544810334,-0.2040794684963833,0.0011201821717402975,-0.10899548157973815
teens_home,0.07899320066048157,0.02038830601008343,0.4150130706064305,1.0,0.8090064102735074,0.018400122355960998,0.026281332540385255,0.1654915669869696,0.06529313740283145,-0.16825507331254352,0.33595277648284755,0.2617300185651313,-0.04765969737713657,0.06483542658109026,0.15970130798861293,-0.17929874241257057,3.662397227574577e-05,0.0037777584468636194,0.20123782327853637,0.055206066084052804,0.16249389134254832,-0.05446225887504407,0.20271569748304236,0.004642470144712235,0.25958579824521955,0.038820954237424966,0.17838932890680187,0.01469435851312978,0.13411530825487974,-0.002665423969571639,0.15564687170035696,0.04462774265422073,0.18312720750693673,-0.009701442011673287,0.03337998042034962,-0.1582598402532017,0.05694571926259547,-0.1006919952672508
household_children,0.017166201125045806,0.021268386540309558,0.8705375914211884,0.8090064102735074,1.0,0.10128688406174986,0.03660225032200037,0.1458891770295813,0.039180377867942,-0.14338325244344285,0.37826769652761894,0.27427126037152827,-0.05641273279207619,0.07943085179061868,0.20846009857931558,-0.2549206063531419,-0.0009350183044056072,0.02387157577382108,0.22348646542476172,0.08346298132545915,0.1756395719557747,-0.08189082236692377,0.2059863903240488,-0.01693959898333335,0.2711796001356516,0.0369481605658599,0.26212578691081223,0.0804430815657749,0.14638214836234598,-0.011996435630182435,0.17044637808820967,0.05201251996074484,0.18567291868092123,-0.020622027128489432,0.003089939714591689,-0.21744832606723324,0.03152456998372617,-0.12488054471465924
number_complaints,-0.06555377433054894,-0.00037118115761449453,0.14137063932529936,0.018400122355960998,0.10128688406174986,1.0,-0.030849643646954316,-0.04565842980709478,-0.039761822203957936,0.11577435239158848,-0.03945186378501692,0.004673187800717688,0.020281368999975465,0.01037574824418385,-0.032972372105582994,-0.040919573302072576,-0.010322468077211705,-0.06322499829906358,-0.019083674071918785,-0.022273863390714264,0.0508441511481316,0.061587823644843505,-0.14549997242431523,-0.11905464999651016,-0.03274949207812282,-0.037354214480709705,0.16983901860140876,0.11748314746237808,0.09162372421111079,0.06542641381099605,0.07636853171633963,0.08157896985725992,-0.11341857980235935,-0.10861927941516017,0.014567255461849152,0.02908970331266396,-0.02618455868804853,-0.005286697288567612
distinct_stores_visited,0.07506167407104376,0.0013861698261604016,0.03465159032354594,0.026281332540385255,0.03660225032200037,-0.030849643646954316,1.0,0.015430805213974217,0.014858570652762875,0.18335252726504214,0.1576770558785625,0.026904579969722797,-0.04031961632784999,0.009596914340252947,-0.13083035631818063,-0.11547337220783112,0.04451759776896417,0.13262837040393527,0.07424790897957377,0.16878878275295797,-0.147230866128042,-0.2509466421864145,0.1271794503207836,0.07841980386676761,0.001288547646390615,0.04230896802492161,-0.0599656656586151,-0.10224435567619647,-0.05719221085758119,0.006704629788771534,-0.10607926988808718,-0.09871255721837956,0.15002988675452889,0.12333185743174413,-0.15025339460505532,-0.2108189856433697,-0.007765610887666578,0.033634367993130146
customer_tenure_years,0.2655833584538001,0.00012843332050731002,0.08726356684503117,0.1654915669869696,0.1458891770295813,-0.04565842980709478,0.015430805213974217,1.0,0.1330864394817694,-0.07908214743730421,0.19726928488281706,0.20646403726686335,-0.03415709553973313,-0.4199942912166601,0.08447455394294433,-0.04446220315084454,-0.008982990516918948,-0.02790983185159714,0.15999920345783367,0.09674596078944464,0.054399992633494154,-0.08603835325908972,0.10725653280917369,-0.007777170268258824,0.14132478758168693,-0.015312633480698641,0.008994783328871245,-0.12421704881824748,0.10828003544983257,0.01739339422851684,0.12129104093932534,0.025428870545162047,0.1423471530244028,-0.021952048814173057,0.004274849585225228,-0.11998656065387857,0.07572608240989319,-0.0511109421377184
has_loyalty_card,0.06745764731645378,0.006804862412660889,0.005981687191695957,0.06529313740283145,0.039180377867942,-0.039761822203957936,0.014858570652762875,0.1330864394817694,1.0,0.031004462474513904,0.03709274025266706,0.08340407867288316,-0.008927473243547568,0.014379455245548654,0.04450659810259028,-0.040525094965616085,0.0011821614820072149,-0.014303160671714237,0.06539748485800491,0.06536045087526113,-0.04685921143400649,-0.0791588824918551,0.05433968363308426,0.0007241957047662078,0.026269651054007026,-0.025230847804470154,-0.09744200475548823,-0.16141499861940084,0.0862088403492457,0.08558795858914739,0.04481370207443359,0.00411664656601111,0.08928315571577146,0.022199049515211264,-0.024546550267970237,-0.06506755295938274,0.06013730030954334,0.021467495223461374
promotion_purchase_rate,-0.1027369382069174,-0.006227908033867244,-0.08107122796526281,-0.16825507331254352,-0.14338325244344285,0.11577435239158848,0.18335252726504214,-0.07908214743730421,0.031004462474513904,1.0,-0.10779979442576582,-0.06982426810538368,0.041253687243377975,-0.0008764721012030338,-0.125040250319933,0.02314891970608063,-0.03923124633299994,-0.02722844075079948,-0.01207370363366954,0.15941612882122216,-0.20484757215921853,-0.1432362522861113,-0.30267989138622237,-0.2710875884987679,-0.31542419424117885,-0.19098295598684187,-0.023071951526706744,0.018650119303721336,0.2649816378932911,0.29000184688438835,0.11839815532514066,0.10596366947839739,-0.18324778104734268,-0.15335447962818968,-0.0832141709164267,-0.031794219543965115,-0.07300727613009365,0.061036596199506764
