column,count,mean,std,min,25%,50%,75%,max
customer_id,33038.0,19974.265784853804,11538.538631704592,3.0,9985.25,19951.5,29964.75,40000.0
kids_home,32708.0,1.1161183808242632,1.150185756819175,0.0,0.0,1.0,1.0,8.0
teens_home,32708.0,0.8988932371285312,0.9629235139302417,0.0,0.0,1.0,1.0,6.0
number_complaints,32377.0,0.9308459709052722,0.8946579116483556,0.0,0.0,1.0,1.0,7.0
distinct_stores_visited,32708.0,3.1679405649993884,1.6741137952095138,1.0,2.0,3.0,4.0,10.0
lifetime_spend_groceries,33038.0,16306.227798292875,11985.903517642339,0.0,8647.0,13002.5,20807.0,104670.0
lifetime_spend_electronics,32377.0,2763.080087716589,3453.1914952701823,0.0,579.0,1470.0,3745.0,35299.0
typical_hour,32377.0,12.659387837044816,4.854708054800796,6.0,8.0,12.0,16.0,23.0
lifetime_spend_vegetables,32377.0,727.2238008462798,654.6330872204003,0.0,224.0,471.0,1074.0,3337.0
lifetime_spend_nonalcohol_drinks,33038.0,464.35277559174284,275.76797626843876,0.0,241.0,421.0,640.0,2180.0
lifetime_spend_alcohol_drinks,32708.0,622.1441849088908,517.7443200171474,0.0,201.0,483.0,891.25,3704.0
lifetime_spend_meat,32377.0,723.7217160329864,483.022782380052,0.0,343.0,729.0,1010.0,3052.0
lifetime_spend_fish,32047.0,608.7812275720037,497.06887374215165,0.0,171.0,511.0,923.0,3172.0
lifetime_spend_hygiene,32708.0,820.3464595817537,608.3173195209022,0.0,362.0,686.0,1120.0,3482.0
lifetime_spend_videogames,32377.0,373.90091731784906,460.78204182793996,0.0,125.0,223.0,374.0,3936.0
lifetime_spend_petfood,32377.0,336.21709855761804,160.2349803238734,0.0,225.0,327.0,435.0,1224.0
lifetime_total_distinct_products,33038.0,148.914643743568,105.92290732734905,0.0,67.0,123.0,210.0,600.0
percentage_of_products_bought_promotion,32708.0,0.3188659536002228,0.2836378068308456,-1.2749404207754256,0.12235892091474795,0.2394492208095545,0.4693903653234684,1.0
year_first_transaction,33038.0,2015.3118530177371,5.032196421852939,1993.0,2012.0,2015.0,2019.0,2029.0
loyalty_card_number,19932.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
latitude,33038.0,38.74969359246253,0.022497579158961598,38.68798655369376,38.73407864768674,38.74828599470156,38.76577949688588,38.82369346468365
longitude,33038.0,-9.154549063726972,0.028580575187772503,-9.232988550406722,-9.173732032512417,-9.156689497763404,-9.139608387558512,-9.035696791232676
