column,category,mean,median,std,min,max
lifetime_spend_groceries,Groceries,16306.227798292875,13002.5,11985.903517642339,0.0,104670.0
lifetime_spend_electronics,Electronics,2737.2090925600824,1470.0,3423.263352409424,0.0,35299.0
lifetime_spend_hygiene,Hygiene,819.004540226406,686.0,605.4189398956912,0.0,3482.0
lifetime_spend_meat,Meat,723.8273200556935,729.0,478.1668100729256,0.0,3052.0
lifetime_spend_vegetables,Vegetables,722.0974635268478,471.0,649.0435008049961,0.0,3337.0
lifetime_spend_alcohol_drinks,Alcohol Drinks,620.7543434832617,483.0,515.3378054589608,0.0,3704.0
lifetime_spend_fish,Fish,605.8482050971609,511.0,489.8409581619547,0.0,3172.0
lifetime_spend_nonalcohol_drinks,Non-Alcohol Drinks,464.35277559174284,421.0,275.76797626843876,0.0,2180.0
lifetime_spend_videogames,Videogames,370.8818027725649,223.0,456.6382626700051,0.0,3936.0
lifetime_spend_petfood,Petfood,336.0326896301229,327.0,158.6291512829425,0.0,1224.0
