feature_a,feature_b,correlation,abs_correlation
kids_home,household_children,0.8705375914211884,0.8705375914211884
teens_home,household_children,0.8090064102735074,0.8090064102735074
log1p_spend_groceries,share_spend_groceries,0.797840621505846,0.797840621505846
share_spend_groceries,share_spend_electronics,-0.7829101699885203,0.7829101699885203
total_lifetime_spend,log1p_spend_groceries,0.7575691698703658,0.7575691698703658
log1p_spend_electronics,share_spend_electronics,0.7152207344847962,0.7152207344847962
log1p_spend_videogames,share_spend_videogames,0.6769659948958097,0.6769659948958097
log1p_spend_alcohol_drinks,share_spend_alcohol_drinks,0.6637845864307583,0.6637845864307583
log1p_spend_vegetables,share_spend_vegetables,0.6617596343890547,0.6617596343890547
log1p_spend_fish,share_spend_fish,0.6449430070515472,0.6449430070515472
share_spend_vegetables,log1p_spend_meat,-0.6449180545383238,0.6449180545383238
log1p_spend_meat,log1p_spend_fish,0.6433158649974027,0.6433158649974027
log1p_spend_hygiene,share_spend_hygiene,0.6045316310428024,0.6045316310428024
log1p_spend_groceries,share_spend_petfood,-0.5869070396508409,0.5869070396508409
share_spend_groceries,share_spend_videogames,-0.5846843121759735,0.5846843121759735
log1p_spend_meat,share_spend_meat,0.5669926880971594,0.5669926880971594
share_spend_groceries,share_spend_nonalcohol_drinks,-0.5642565116675375,0.5642565116675375
share_spend_vegetables,log1p_spend_fish,-0.5605365338547205,0.5605365338547205
log1p_spend_groceries,share_spend_nonalcohol_drinks,-0.5466012992593807,0.5466012992593807
share_spend_meat,share_spend_fish,0.5388109082944342,0.5388109082944342
log1p_spend_nonalcohol_drinks,share_spend_nonalcohol_drinks,0.5385002004759614,0.5385002004759614
share_spend_electronics,share_spend_videogames,0.5193839872951598,0.5193839872951598
total_lifetime_spend,share_spend_petfood,-0.5181524875428818,0.5181524875428818
share_spend_nonalcohol_drinks,share_spend_hygiene,0.5152254702796935,0.5152254702796935
share_spend_electronics,log1p_spend_videogames,0.511142864522381,0.511142864522381
share_spend_vegetables,share_spend_hygiene,0.49981634354746945,0.49981634354746945
log1p_spend_petfood,share_spend_petfood,0.4930566299055816,0.4930566299055816
share_spend_groceries,share_spend_alcohol_drinks,-0.4930413230335698,0.4930413230335698
lifetime_total_distinct_products,total_lifetime_spend,0.48812631304480497,0.48812631304480497
log1p_spend_electronics,log1p_spend_alcohol_drinks,0.4793176246608146,0.4793176246608146
